somme	pHash	dHash	aHash	soya	marche
47	24	23	32	/soya2/sourcing/img_soya/enf_11_KIDS_PINK_7.png	/soya_prix/imgs/zamatsle_0.img
47	24	23	32	/soya2/sourcing/img_soya/henf_04_KIDS_PINK_7.png	/soya_prix/imgs/zamatsle_0.img
47	24	23	33	/soya2/sourcing/img_soya/enf_02_KIDSP1_6.png	/soya2/sourcing/img_mkt/jty_p6036_1.webp
47	24	23	35	/soya2/sourcing/img_soya/enf_03_KIDSP1_5.png	/soya2/sourcing/img_mkt/confal_3.img
47	26	21	24	/soya2/sourcing/img_soya/enf_09_KIDS_PINK_2.png	/soya_prix/imgs/inphysio_2.img
47	26	21	24	/soya2/sourcing/img_soya/enf_16_KIDS_YELLOW_7.png	/soya2/sourcing/img_mkt/confal_5.img
47	26	21	24	/soya2/sourcing/img_soya/enf_20_KIDS_YELLOW_5.png	/soya2/sourcing/img_mkt/derila_3.img
47	26	21	28	/soya2/sourcing/img_soya/enf_18_KIDS_YELLOW_2.png	/soya2/sourcing/img_mkt/jty_p6036_6.webp
47	26	21	28	/soya2/sourcing/img_soya/henf_05_KIDS_YELLOW_2.png	/soya2/sourcing/img_mkt/jty_p6036_6.webp
47	26	21	32	/soya2/sourcing/img_soya/enf_06_KIDSP1_1.jpg	/soya2/sourcing/img_mkt/confal_2.img
47	26	21	32	/soya2/sourcing/img_soya/enf_06_KIDSP1_1.jpg	/soya_prix/imgs/confortalign_2.img
47	28	19	32	/soya/gallery/26.jpg	/soya2/sourcing/img_mkt/confal_2.img
47	28	19	32	/soya/gallery/26.jpg	/soya_prix/imgs/confortalign_2.img
48	16	32	33	/soya2/sourcing/img_soya/v3_24_SOYA_3.0_Grey-2.jpg	/soya_prix/imgs/zamatsle_3.img
48	18	30	3	/soya/gallery/29.jpg	/soya_prix/imgs/zamatsle_3.img
48	18	30	6	/soya2/sourcing/img_soya/v3_25_Soya_3.0_grey_2_2e59cacb-6ebc-4f36-8a81-44478c9d4589.png	/soya_prix/imgs/zamatsle_1.img
48	18	30	19	/soya2/sourcing/img_soya/v2_02_1-oreiller-soya-2_0_img3_5f834f33-5e47-49e1-a6a1-34e17f3341b	/soya_prix/imgs/zamatsle_1.img
48	18	30	23	/soya2/sourcing/img_soya/enf_10_KIDS_PINK_1.png	/soya_prix/imgs/zamatsle_3.img
48	18	30	34	/soya/gallery/25.jpg	/soya_prix/imgs/zamatsle_1.img
48	22	26	16	/soya2/sourcing/img_soya/voy_03_9-Oreiller-de-Voyage-Ergonomique-Soya_img4.webp	/soya_prix/imgs/comfysle_3.img
48	22	26	22	/soya2/sourcing/img_soya/regl_01_14-Ensemble_Oreillers_Reglables_img2.webp	/soya2/sourcing/img_mkt/derila_0.img
48	22	26	23	/soya2/sourcing/img_soya/enf_09_KIDS_PINK_2.png	/soya_prix/imgs/zamatsle_1.img
